id_recepta,oznaka
1,Kid Friendly
2,Gluten Free
2,Meal Prep Recipes
2,Vegetarian Meals
3,Dairy Free
3,Gluten Free
3,Vegetarian Meals
8,Gluten Free
8,Kid Friendly
10,Gluten Free
10,Keto Recipes
10,Kid Friendly
10,Low Carb
10,Vegetarian Meals
11,Dairy Free
11,Gluten Free
11,Kid Friendly
11,Under 30 Minutes
11,Vegetarian Meals
12,Dairy Free
13,Air Fryer
13,Kid Friendly
13,Under 30 Minutes
14,Dairy Free
14,Gluten Free
14,Keto Recipes
14,Kid Friendly
14,Low Carb
14,Whole 30 Recipes
15,Dairy Free
15,Kid Friendly
15,Low Carb
15,Under 30 Minutes
