ime_recepta,kategorija,cas_priprave,cas_kuhanja,sestavine,kalorije,ogljikovi_hidrati,mascobe,vlaknine,beljakovine
Hrustljavo pečen krompir,Priloge,5,55,"""Krompir, beli"",""Olje, olivno"",""Sol, namizna"",""Peteršilj, svež""",68.93,14.93,0,2,0.93
Chili con carne s pivom in čokolado,Glavne jedi,10,150,"""Olje, olivno"",""Čebula, surova"",""Česen, svež"",""Meso, goveje, mleto"",""Paprika, rdeča, sveža"",""Korenje, sveže"",""Zelena, surova"",""Alkohol,Pivo"",""Začimbe, čili v prahu"",""Začimbe, kumina, semena"",""Začimbe, koriander - posušeni listi"",""Začimbe, cimet, mleti"",""Začimbe, cimet, mleti"",""Sol, namizna"",""Čokolada, temna"",""Paradižnik, koščki - pločevinka"",""Paradižnikova omaka, brez soli"",""Fižol, zrna"",""Koruza, rumena, v slanici"",""Voda""",141.57,16.7,4.16,3.65,8.32
"Gosta enolončnica iz kislega zelja, krompirja in klobase",Hofer,15,30,"""Voda"",""Krompir, beli"",""Sol, namizna"",""Kranjska klobasa"",""Kislo zelje"",""Čebula, surova"",""Česen, svež"",""Začimbe, poper, črni"",""Začimbe, kumina, semena"",""Kisla smetana""",45.04,5.61,1.63,0.93,1.21
Preprost jabolčni kolač,Sladice,15,35,"""Maslo, nesoljeno"",""Sladkor, beli"",""Jajce, sveže"",""Sladkor, beli"",""Mleko, polnomastno"",""Limonina lupina, sveža"",""Moka, Pšenična, namenska za kruh"",""Pecilni prašek"",""Jabolka, rose"",""Začimbe, cimet, mleti"",""Sladkor v prahu""",201.78,23.99,9.37,0.31,3.64
Kakijeva rolada,Sladice,60,15,"""Jajce, sveže"",""Sladkor, beli"",""Sladkor, beli"",""Sol, namizna"",""Moka, Pšenična, namenska za kruh"",""Pecilni prašek"",""Sladka smetana"",""Čokolada, temna"",""Kaki"",""Želatina v prahu, nesladkana"",""Sir, kremni""",248.29,27.51,11.74,0.69,6.63
Ajdovo pecivo z marmelado in mascarponejevo kremo,Brez glutena,50,30,"""Maslo, nesoljeno"",""Sladkor, beli"",""Jajce, sveže"",""Vanilija, ekstrakt, naravni"",""Moka, ajdova"",""Oreščki, mandlji"",""Začimbe, cimet, mleti"",""Pecilni prašek"",""Marmelada, pomarančna"",""Čokolada, temna"",""Sir, kremni"",""Sladka smetana"",""Sladkor, beli"",""Sladkor v prahu""",364.88,28.77,25.48,2.22,6.12
Rahli zdrobovi žličniki (knedlčki),Testenine in žita,25,15,"""Jajce, sveže"",""Maslo, nesoljeno"",""Zdrob"",""Sol, namizna"",""Začimbe, muškatni oreh, mleti""",327.78,26.54,18.52,0.62,9.26
Dobri domači mlinci (pečeni v pečici),Testenine in žita,60,40,"""Moka, Pšenična, namenska za kruh"",""Sol, namizna"",""Jajce, rumenjak, svež"",""Voda"",""Voda"",""Mast, gosja""",357.94,71.39,0.99,1.98,10.91
Čokoladni netopirčki,Noč čarovnic,20,10,"""Mleko, polnomastno"",""Kakav, v prahu, nesladkan"",""Vanilija, ekstrakt, imitacija"",""Maslo, nesoljeno"",""Čokolada, temna"",""Sladka smetana"",""Čokolada, temna"",""Krušne drobtine, posušene"",""Sladkor v prahu""",275.04,30.33,13.37,2.57,4.37
"Zloženka s kislim zeljem, slanino in smetano",Kosilo,25,80,"""Olje, rastlinsko olje, canola"",""Čebula, surova"",""Kislo zelje"",""Sol, namizna"",""Alkohol, Vino, Belo"",""Meso, svinjina, prekajena slanina"",""Jajce, sveže"",""Kisla smetana"",""Peteršilj, svež"",""Testo, listnato"",""Sir, gauda""",184.5,15.49,10.27,0.91,5.83
Telečji zrezki v gobovi omaki,Meso,10,45,"""Meso, teletina, stegno"",""Olje, rastlinsko olje, canola"",""Maslo, nesoljeno"",""Čebula, surova"",""Česen, svež"",""Gorčica"",""Voda"",""Koruzni škrob"",""Sol, namizna""",158.8,0.97,8.89,0,16.16
Prosena kaša z grškim jogurtom in karameliziranimi jabolki,Jesen,10,20,"""Proso, surovo"",""Mleko, polnomastno"",""Začimbe, cimet, mleti"",""Sol, namizna"",""Maslo, nesoljeno"",""Jogurt, navaden, iz polnomastnega mleka"",""Med"",""Jabolko, sveže"",""Sok, limona"",""Sladkor, rjavi"",""Začimbe, cimet, mleti"",""Orehi""",111.15,10.15,6.33,0.62,2.5
Skutini cmoki z zdrobom in borovničevo omako,Sladice,20,15,"""Sir, skuta"",""Jajce, sveže"",""Sladkor, beli"",""Sol, namizna"",""Zdrob"",""Moka, Pšenična, namenska za kruh"",""Borovnica, surova"",""Sladkor, beli"",""Koruzni škrob"",""Limonina lupina, sveža"",""Sok, limona"",""Voda"",""Sladkor v prahu""",118.52,16.53,1.68,0.65,6.58
Hrustljavo pečen krompir,Priloge,5,55,"""Krompir, beli"",""Olje, olivno"",""Sol, namizna"",""Peteršilj, svež""",68.93,14.93,0,2,0.93
Chili con carne s pivom in čokolado,Glavne jedi,10,150,"""Olje, olivno"",""Čebula, surova"",""Česen, svež"",""Meso, goveje, mleto"",""Paprika, rdeča, sveža"",""Korenje, sveže"",""Zelena, surova"",""Alkohol,Pivo"",""Začimbe, čili v prahu"",""Začimbe, kumina, semena"",""Začimbe, koriander - posušeni listi"",""Začimbe, cimet, mleti"",""Začimbe, cimet, mleti"",""Sol, namizna"",""Čokolada, temna"",""Paradižnik, koščki - pločevinka"",""Paradižnikova omaka, brez soli"",""Fižol, zrna"",""Koruza, rumena, v slanici"",""Voda""",141.57,16.7,4.16,3.65,8.32
"Gosta enolončnica iz kislega zelja, krompirja in klobase",Hofer,15,30,"""Voda"",""Krompir, beli"",""Sol, namizna"",""Kranjska klobasa"",""Kislo zelje"",""Čebula, surova"",""Česen, svež"",""Začimbe, poper, črni"",""Začimbe, kumina, semena"",""Kisla smetana""",45.04,5.61,1.63,0.93,1.21
Preprost jabolčni kolač,Sladice,15,35,"""Maslo, nesoljeno"",""Sladkor, beli"",""Jajce, sveže"",""Sladkor, beli"",""Mleko, polnomastno"",""Limonina lupina, sveža"",""Moka, Pšenična, namenska za kruh"",""Pecilni prašek"",""Jabolka, rose"",""Začimbe, cimet, mleti"",""Sladkor v prahu""",201.78,23.99,9.37,0.31,3.64
Kakijeva rolada,Sladice,60,15,"""Jajce, sveže"",""Sladkor, beli"",""Sladkor, beli"",""Sol, namizna"",""Moka, Pšenična, namenska za kruh"",""Pecilni prašek"",""Sladka smetana"",""Čokolada, temna"",""Kaki"",""Želatina v prahu, nesladkana"",""Sir, kremni""",248.29,27.51,11.74,0.69,6.63
Ajdovo pecivo z marmelado in mascarponejevo kremo,Brez glutena,50,30,"""Maslo, nesoljeno"",""Sladkor, beli"",""Jajce, sveže"",""Vanilija, ekstrakt, naravni"",""Moka, ajdova"",""Oreščki, mandlji"",""Začimbe, cimet, mleti"",""Pecilni prašek"",""Marmelada, pomarančna"",""Čokolada, temna"",""Sir, kremni"",""Sladka smetana"",""Sladkor, beli"",""Sladkor v prahu""",364.88,28.77,25.48,2.22,6.12
Rahli zdrobovi žličniki (knedlčki),Testenine in žita,25,15,"""Jajce, sveže"",""Maslo, nesoljeno"",""Zdrob"",""Sol, namizna"",""Začimbe, muškatni oreh, mleti""",327.78,26.54,18.52,0.62,9.26
Dobri domači mlinci (pečeni v pečici),Testenine in žita,60,40,"""Moka, Pšenična, namenska za kruh"",""Sol, namizna"",""Jajce, rumenjak, svež"",""Voda"",""Voda"",""Mast, gosja""",357.94,71.39,0.99,1.98,10.91
Čokoladni netopirčki,Noč čarovnic,20,10,"""Mleko, polnomastno"",""Kakav, v prahu, nesladkan"",""Vanilija, ekstrakt, imitacija"",""Maslo, nesoljeno"",""Čokolada, temna"",""Sladka smetana"",""Čokolada, temna"",""Krušne drobtine, posušene"",""Sladkor v prahu""",275.04,30.33,13.37,2.57,4.37
"Zloženka s kislim zeljem, slanino in smetano",Kosilo,25,80,"""Olje, rastlinsko olje, canola"",""Čebula, surova"",""Kislo zelje"",""Sol, namizna"",""Alkohol, Vino, Belo"",""Meso, svinjina, prekajena slanina"",""Jajce, sveže"",""Kisla smetana"",""Peteršilj, svež"",""Testo, listnato"",""Sir, gauda""",184.5,15.49,10.27,0.91,5.83
Telečji zrezki v gobovi omaki,Meso,10,45,"""Meso, teletina, stegno"",""Olje, rastlinsko olje, canola"",""Maslo, nesoljeno"",""Čebula, surova"",""Česen, svež"",""Gorčica"",""Voda"",""Koruzni škrob"",""Sol, namizna""",158.8,0.97,8.89,0,16.16
Prosena kaša z grškim jogurtom in karameliziranimi jabolki,Jesen,10,20,"""Proso, surovo"",""Mleko, polnomastno"",""Začimbe, cimet, mleti"",""Sol, namizna"",""Maslo, nesoljeno"",""Jogurt, navaden, iz polnomastnega mleka"",""Med"",""Jabolko, sveže"",""Sok, limona"",""Sladkor, rjavi"",""Začimbe, cimet, mleti"",""Orehi""",111.15,10.15,6.33,0.62,2.5
Skutini cmoki z zdrobom in borovničevo omako,Sladice,20,15,"""Sir, skuta"",""Jajce, sveže"",""Sladkor, beli"",""Sol, namizna"",""Zdrob"",""Moka, Pšenična, namenska za kruh"",""Borovnica, surova"",""Sladkor, beli"",""Koruzni škrob"",""Limonina lupina, sveža"",""Sok, limona"",""Voda"",""Sladkor v prahu""",118.52,16.53,1.68,0.65,6.58
Hrustljavo pečen krompir,Priloge,5,55,"""Krompir, beli"",""Olje, olivno"",""Sol, namizna"",""Peteršilj, svež""",68.93,14.93,0,2,0.93
Chili con carne s pivom in čokolado,Glavne jedi,10,150,"""Olje, olivno"",""Čebula, surova"",""Česen, svež"",""Meso, goveje, mleto"",""Paprika, rdeča, sveža"",""Korenje, sveže"",""Zelena, surova"",""Alkohol,Pivo"",""Začimbe, čili v prahu"",""Začimbe, kumina, semena"",""Začimbe, koriander - posušeni listi"",""Začimbe, cimet, mleti"",""Začimbe, cimet, mleti"",""Sol, namizna"",""Čokolada, temna"",""Paradižnik, koščki - pločevinka"",""Paradižnikova omaka, brez soli"",""Fižol, zrna"",""Koruza, rumena, v slanici"",""Voda""",141.57,16.7,4.16,3.65,8.32
"Gosta enolončnica iz kislega zelja, krompirja in klobase",Hofer,15,30,"""Voda"",""Krompir, beli"",""Sol, namizna"",""Kranjska klobasa"",""Kislo zelje"",""Čebula, surova"",""Česen, svež"",""Začimbe, poper, črni"",""Začimbe, kumina, semena"",""Kisla smetana""",45.04,5.61,1.63,0.93,1.21
Preprost jabolčni kolač,Sladice,15,35,"""Maslo, nesoljeno"",""Sladkor, beli"",""Jajce, sveže"",""Sladkor, beli"",""Mleko, polnomastno"",""Limonina lupina, sveža"",""Moka, Pšenična, namenska za kruh"",""Pecilni prašek"",""Jabolka, rose"",""Začimbe, cimet, mleti"",""Sladkor v prahu""",201.78,23.99,9.37,0.31,3.64
Kakijeva rolada,Sladice,60,15,"""Jajce, sveže"",""Sladkor, beli"",""Sladkor, beli"",""Sol, namizna"",""Moka, Pšenična, namenska za kruh"",""Pecilni prašek"",""Sladka smetana"",""Čokolada, temna"",""Kaki"",""Želatina v prahu, nesladkana"",""Sir, kremni""",248.29,27.51,11.74,0.69,6.63
